state,pct100
Alabama,97.4
Alaska,92.2
Arizona,99.5
Arkansas,99.1
California,93.9
Colorado,97.2
Connecticut,94.2
Delaware,95.5
District of Columbia,93.3
Florida,96.5
Georgia,98.3
Hawaii,88.6
Idaho,102.5
Illinois,94.5
Indiana,96.2
Iowa,97.0
Kansas,96.4
Kentucky,95.4
Louisiana,92.7
Maine,96.9
Maryland,95.1
Massachusetts,94.3
Michigan,93.4
Minnesota,95.4
Mississippi,97.7
Missouri,97.4
Montana,99.0
Nebraska,97.6
Nevada,93.7
New Hampshire,95.5
New Jersey,93.2
New Mexico,93.3
New York,90.8
North Carolina,99.3
North Dakota,94.6
Ohio,95.4
Oklahoma,95.8
Oregon,95.8
Pennsylvania,93.8
Rhode Island,94.2
South Carolina,96.5
South Dakota,98.7
Tennessee,97.8
Texas,97.6
Utah,101.7
Vermont,96.1
Virginia,95.2
Washington,96.5
West Virginia,97.2
Wisconsin,96.3
Wyoming,95.9
,
