state,rent_distress
Alabama,16
Alaska,16
Arizona,10
Arkansas,16
California,20
Colorado,10
Connecticut,16
Delaware,16
District of Columbia,20
Florida,16
Georgia,20
Hawaii,16
Idaho,10
Illinois,20
Indiana,16
Iowa,16
Kansas,20
Kentucky,16
Louisiana,20
Maine,10
Maryland,20
Massachusetts,16
Michigan,10
Minnesota,10
Mississippi,20
Missouri,16
Montana,16
Nebraska,10
Nevada,20
New Hampshire,20
New Jersey,16
New Mexico,16
New York,20
North Carolina,16
North Dakota,10
Ohio,16
Oklahoma,20
Oregon,10
Pennsylvania,20
Rhode Island,16
South Carolina,16
South Dakota,16
Tennessee,20
Texas,16
Utah,10
Vermont,16
Virginia,10
Washington,10
West Virginia,10
Wisconsin,10
Wyoming,10
